id_venta,fecha,cliente,cedula_cliente,telefono_cliente,producto,categoria,precio,cantidad,vendedor
1010,2026-04-17,Juan Pérez,1023456789,3001112233,Laptop Asus,Computadores,3200000,5,Diana Torres
1010,2026-04-17,Juan Pérez,1023456789,3001112233,Impresora Epson,Impresión,650000,5,Diana Torres
1011,2026-03-29,Miguel Cárdenas,1167890123,3017778899,Monitor LG 27,Monitores,1200000,4,Carlos Gómez
1011,2026-03-29,Miguel Cárdenas,1167890123,3017778899,Teclado Mecánico,Accesorios,250000,1,Carlos Gómez
1011,2026-03-29,Miguel Cárdenas,1167890123,3017778899,SSD 512GB,Almacenamiento,220000,2,Carlos Gómez
1011,2026-03-29,Miguel Cárdenas,1167890123,3017778899,Teclado Redragon,Accesorios,180000,3,Carlos Gómez
1012,2026-01-03,Jorge Ramírez,1123456789,3013334455,Monitor LG 27,Monitores,1200000,4,Pedro Sánchez
1012,2026-01-03,Jorge Ramírez,1123456789,3013334455,Laptop Asus,Computadores,3200000,1,Pedro Sánchez
1012,2026-01-03,Jorge Ramírez,1123456789,3013334455,Disco SSD 1TB,Almacenamiento,350000,2,Pedro Sánchez
1013,2026-01-09,Natalia Silva,1156789012,3016667788,Teclado Mecánico,Accesorios,250000,1,Diana Torres
1013,2026-01-09,Natalia Silva,1156789012,3016667788,Laptop HP,Computadores,2800000,3,Diana Torres
1013,2026-01-09,Natalia Silva,1156789012,3016667788,SSD 512GB,Almacenamiento,220000,4,Diana Torres
1014,2026-03-30,Juliana Acosta,1178901234,3018889900,Disco SSD 1TB,Almacenamiento,350000,4,Javier León
1014,2026-03-30,Juliana Acosta,1178901234,3018889900,Monitor Samsung 24,Monitores,850000,1,Javier León
1014,2026-03-30,Juliana Acosta,1178901234,3018889900,Memoria USB 64GB,Almacenamiento,45000,1,Javier León
1015,2026-01-29,Paula Moreno,1134567890,3014445566,Laptop Asus,Computadores,3200000,2,Javier León
1015,2026-01-29,Paula Moreno,1134567890,3014445566,Laptop Lenovo,Computadores,2500000,4,Javier León
1015,2026-01-29,Paula Moreno,1134567890,3014445566,Impresora Epson,Impresión,650000,3,Javier León
1016,2026-01-05,Valentina Rojas,1090123456,3008889900,Impresora Epson,Impresión,650000,2,Mónica Ruiz
1016,2026-01-05,Valentina Rojas,1090123456,3008889900,Monitor LG 27,Monitores,1200000,2,Mónica Ruiz
1016,2026-01-05,Valentina Rojas,1090123456,3008889900,Laptop Lenovo,Computadores,2500000,1,Mónica Ruiz
1017,2026-01-14,Sara Hernández,1212345678,3024445566,Teclado Mecánico,Accesorios,250000,1,Pedro Sánchez
1017,2026-01-14,Sara Hernández,1212345678,3024445566,Laptop Lenovo,Computadores,2500000,3,Pedro Sánchez
1017,2026-01-14,Sara Hernández,1212345678,3024445566,Laptop HP,Computadores,2800000,5,Pedro Sánchez
1017,2026-01-14,Sara Hernández,1212345678,3024445566,Laptop Asus,Computadores,3200000,3,Pedro Sánchez
1018,2026-01-01,Jorge Ramírez,1123456789,3013334455,Monitor Samsung 24,Monitores,850000,2,Mónica Ruiz
1018,2026-01-01,Jorge Ramírez,1123456789,3013334455,Impresora Epson,Impresión,650000,5,Mónica Ruiz
1019,2026-03-08,Laura Mendoza,1112345678,3012223344,SSD 512GB,Almacenamiento,220000,5,Diana Torres
1019,2026-03-08,Laura Mendoza,1112345678,3012223344,Monitor Samsung 24,Monitores,850000,3,Diana Torres
1019,2026-03-08,Laura Mendoza,1112345678,3012223344,Monitor LG 27,Monitores,1200000,3,Diana Torres
1020,2026-02-19,Andrés Castro,1089012345,3007778899,Disco SSD 1TB,Almacenamiento,350000,2,Pedro Sánchez
1020,2026-02-19,Andrés Castro,1089012345,3007778899,Teclado Redragon,Accesorios,180000,1,Pedro Sánchez
1021,2026-01-18,María Gómez,1034567890,3002223344,Monitor Samsung 24,Monitores,850000,4,Diana Torres
1021,2026-01-18,María Gómez,1034567890,3002223344,Disco SSD 1TB,Almacenamiento,350000,2,Diana Torres
1021,2026-01-18,María Gómez,1034567890,3002223344,Laptop Asus,Computadores,3200000,4,Diana Torres
1021,2026-01-18,María Gómez,1034567890,3002223344,Mouse Logitech,Accesorios,80000,4,Diana Torres
1022,2026-01-11,Juliana Acosta,1178901234,3018889900,Teclado Mecánico,Accesorios,250000,3,Pedro Sánchez
1022,2026-01-11,Juliana Acosta,1178901234,3018889900,Memoria USB 64GB,Almacenamiento,45000,2,Pedro Sánchez
1022,2026-01-11,Juliana Acosta,1178901234,3018889900,Laptop Asus,Computadores,3200000,3,Pedro Sánchez
1023,2026-02-14,Carlos Rodríguez,1045678901,3003334455,Teclado Mecánico,Accesorios,250000,1,Javier León
1023,2026-02-14,Carlos Rodríguez,1045678901,3003334455,SSD 512GB,Almacenamiento,220000,2,Javier León
1023,2026-02-14,Carlos Rodríguez,1045678901,3003334455,Mouse Logitech,Accesorios,80000,1,Javier León
1024,2026-02-22,María Gómez,1034567890,3002223344,Monitor LG 27,Monitores,1200000,2,Mónica Ruiz
1024,2026-02-22,María Gómez,1034567890,3002223344,Memoria USB 64GB,Almacenamiento,45000,4,Mónica Ruiz
1024,2026-02-22,María Gómez,1034567890,3002223344,Laptop Lenovo,Computadores,2500000,3,Mónica Ruiz
1025,2026-01-05,Daniela Ruiz,1190123456,3022223344,Monitor Samsung 24,Monitores,850000,2,Pedro Sánchez
1025,2026-01-05,Daniela Ruiz,1190123456,3022223344,Monitor LG 27,Monitores,1200000,5,Pedro Sánchez
1026,2026-01-19,Camilo Díaz,1101234567,3011112233,Impresora Epson,Impresión,650000,2,Mónica Ruiz
1026,2026-01-19,Camilo Díaz,1101234567,3011112233,Teclado Mecánico,Accesorios,250000,1,Mónica Ruiz
1027,2026-01-14,Jorge Ramírez,1123456789,3013334455,Monitor LG 27,Monitores,1200000,5,Pedro Sánchez
1027,2026-01-14,Jorge Ramírez,1123456789,3013334455,Impresora Epson,Impresión,650000,5,Pedro Sánchez
1028,2026-03-17,Kevin López,1201234567,3023334455,Monitor LG 27,Monitores,1200000,5,Pedro Sánchez
1028,2026-03-17,Kevin López,1201234567,3023334455,Teclado Mecánico,Accesorios,250000,1,Pedro Sánchez
1028,2026-03-17,Kevin López,1201234567,3023334455,Impresora Epson,Impresión,650000,4,Pedro Sánchez
1029,2026-04-03,María Gómez,1034567890,3002223344,Memoria USB 64GB,Almacenamiento,45000,1,Mónica Ruiz
1029,2026-04-03,María Gómez,1034567890,3002223344,Teclado Redragon,Accesorios,180000,1,Mónica Ruiz
1029,2026-04-03,María Gómez,1034567890,3002223344,Impresora Epson,Impresión,650000,4,Mónica Ruiz
1029,2026-04-03,María Gómez,1034567890,3002223344,Laptop HP,Computadores,2800000,2,Mónica Ruiz
1030,2026-04-12,Laura Mendoza,1112345678,3012223344,Laptop Asus,Computadores,3200000,1,Carlos Gómez
1030,2026-04-12,Laura Mendoza,1112345678,3012223344,Disco SSD 1TB,Almacenamiento,350000,4,Carlos Gómez
1030,2026-04-12,Laura Mendoza,1112345678,3012223344,Monitor Samsung 24,Monitores,850000,4,Carlos Gómez
1031,2026-04-21,Andrés Castro,1089012345,3007778899,SSD 512GB,Almacenamiento,220000,4,Diana Torres
1031,2026-04-21,Andrés Castro,1089012345,3007778899,Teclado Mecánico,Accesorios,250000,5,Diana Torres
1031,2026-04-21,Andrés Castro,1089012345,3007778899,Teclado Redragon,Accesorios,180000,5,Diana Torres
1032,2026-04-01,Natalia Silva,1156789012,3016667788,Monitor LG 27,Monitores,1200000,2,Diana Torres
1032,2026-04-01,Natalia Silva,1156789012,3016667788,Teclado Mecánico,Accesorios,250000,2,Diana Torres
1032,2026-04-01,Natalia Silva,1156789012,3016667788,Laptop Asus,Computadores,3200000,5,Diana Torres
1033,2026-03-11,Miguel Cárdenas,1167890123,3017778899,Impresora Epson,Impresión,650000,2,Pedro Sánchez
1033,2026-03-11,Miguel Cárdenas,1167890123,3017778899,Laptop HP,Computadores,2800000,5,Pedro Sánchez
1034,2026-02-11,María Gómez,1034567890,3002223344,Memoria USB 64GB,Almacenamiento,45000,1,Javier León
1034,2026-02-11,María Gómez,1034567890,3002223344,Laptop Lenovo,Computadores,2500000,5,Javier León
1034,2026-02-11,María Gómez,1034567890,3002223344,Mouse Logitech,Accesorios,80000,4,Javier León
1034,2026-02-11,María Gómez,1034567890,3002223344,Impresora Epson,Impresión,650000,2,Javier León
1035,2026-01-02,Kevin López,1201234567,3023334455,Disco SSD 1TB,Almacenamiento,350000,5,Carlos Gómez
1035,2026-01-02,Kevin López,1201234567,3023334455,Monitor LG 27,Monitores,1200000,5,Carlos Gómez
1035,2026-01-02,Kevin López,1201234567,3023334455,SSD 512GB,Almacenamiento,220000,1,Carlos Gómez
1035,2026-01-02,Kevin López,1201234567,3023334455,Laptop Asus,Computadores,3200000,1,Carlos Gómez
1036,2026-01-24,Ana Martínez,1056789012,3004445566,Monitor Samsung 24,Monitores,850000,3,Javier León
1036,2026-01-24,Ana Martínez,1056789012,3004445566,Laptop HP,Computadores,2800000,2,Javier León
1037,2026-03-25,Felipe Gómez,1189012345,3021112233,Laptop Asus,Computadores,3200000,4,Mónica Ruiz
1037,2026-03-25,Felipe Gómez,1189012345,3021112233,Monitor LG 27,Monitores,1200000,5,Mónica Ruiz
1038,2026-03-24,Felipe Gómez,1189012345,3021112233,Teclado Redragon,Accesorios,180000,5,Pedro Sánchez
1038,2026-03-24,Felipe Gómez,1189012345,3021112233,Disco SSD 1TB,Almacenamiento,350000,2,Pedro Sánchez
1038,2026-03-24,Felipe Gómez,1189012345,3021112233,Mouse Logitech,Accesorios,80000,4,Pedro Sánchez
1039,2026-01-30,Juliana Acosta,1178901234,3018889900,SSD 512GB,Almacenamiento,220000,3,Javier León
1039,2026-01-30,Juliana Acosta,1178901234,3018889900,Teclado Redragon,Accesorios,180000,1,Javier León
1040,2026-05-01,Valentina Rojas,1090123456,3008889900,Memoria USB 64GB,Almacenamiento,45000,3,Carlos Gómez
1040,2026-05-01,Valentina Rojas,1090123456,3008889900,Disco SSD 1TB,Almacenamiento,350000,5,Carlos Gómez
1040,2026-05-01,Valentina Rojas,1090123456,3008889900,Laptop HP,Computadores,2800000,1,Carlos Gómez
1040,2026-05-01,Valentina Rojas,1090123456,3008889900,Teclado Mecánico,Accesorios,250000,4,Carlos Gómez
